name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,0,77,automotive brakes,Automotive,M,Italy,1516704901086,1112.617,1945,1945
Alexander Samwer,Samwer,alexander-samwer,alexander-samwer,13.109,42,tech startups,Technology,M,Germany,1516704901086,1257.396,1806,1806
Amit Burman,Burman,amit-burman,amit-burman,3.959,48,consumer goods,Food and Beverage,M,India,1516704901086,1315.59,1753,1753
Anant Asavabhokhin & family,Asavabhokhin,anant-asavabhokhin,no-pic,-12.488,67,real estate,Real Estate,M,Thailand,1516704901086,1437.207,1646,1646
Andreas Pohl,Pohl,andreas-pohl,andreas-pohl,0,53,mutual funds,Finance and Investments,M,Germany,1516704901086,1211.682,1856,1856
Andrei Filatov,Filatov,andrei-filatov,andrei-filatov,6.215,46,"ports, railway transport",Logistics,M,Russia,1516704901086,1008.746,2011,2011
Anton Kathrein Jr,Kathrein,anton-kathrein-jr,anton-kathrein-jr,0,33,antennas,Manufacturing,M,Germany,1516704901086,1101.828,1952,1952
Anu Aga,Aga,anu-aga,anu-aga,-12.506,75,engineering,Construction & Engineering,F,India,1516704901086,1493.006,1599,1599
Ayman Hariri,Hariri,ayman-hariri,ayman-hariri,0,39,"construction, investments",Construction & Engineering,M,Lebanon,1516704901086,1520.76,1579,1579
Banthoon Lamsam & family,Lamsam,banthoon-lamsam,banthoon-lamsam,-2.497,65,banking,Finance and Investments,M,Thailand,1516704901086,1238.151,1832,1832
Bill Adderley & family,Adderley,bill-adderley,no-pic,9.909,69,home furnishings,Fashion & Retail,M,United Kingdom,1516704901086,1372.022,1703,1703
Brothers Chearavanont,Chearavanont,brothers-chearavanont,brothers-chearavanont,353.312,,food,Food and Beverage,M,Thailand,1516704901086,32553.127,25,25
Cai Xiaoru,Cai,cai-xiaoru,no-pic,0,38,electronic components,Technology,M,China,1516704901086,1054.661,1991,1991
Cameron Mackintosh,Mackintosh,cameron-mackintosh,cameron-mackintosh,0,71,musical theater,Media & Entertainment,M,United Kingdom,1516704901086,1056.974,1990,1990
Chalerm Yoovidhya & family,Yoovidhya,chalerm-yoovidhya,chalerm-yoovidhya,0,67,energy drinks,Food and Beverage,M,Thailand,1516704901086,13814.459,116,116
Charles Butt & family,Butt,charles-butt,charles-butt,0,79,supermarkets,Fashion & Retail,M,United States,1516704901086,10700,151,151
Charles Cadogan & family,Cadogan,charles-cadogan,no-pic,0,80,real estate,Real Estate,M,United Kingdom,1516704901086,7597.619,232,232
Chatchai Kaewbootta,Kaewbootta,chatchai-kaewbootta,chatchai-kaewbootta,-17.854,66,finance,Finance and Investments,M,Thailand,1516704901086,1115.649,1943,1943
Chatri Sophonpanich & family,Sophonpanich,chatri-sophonpanich,chatri-sophonpanich,8.613,83,banking,Finance and Investments,M,Thailand,1516704901086,1549.622,1550,1550
Chen Jinsong & family,Chen,chen-jinsong,chen-jinsong,3.447,54,real estate,Real Estate,M,Hong Kong,1516704901086,1065.577,1982,1982
Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,22.669,44,online games,Technology,M,China,1516704901086,1548.751,1552,1552
Cheng Wei,Cheng,cheng-wei,cheng-wei,0,35,ride-hailing service,Service,M,China,1516704901086,1200,1866,1866
Chirathivat family,Chirathivat family,chirathivat-family,chirathivat-family,-123.644,,retail,Fashion & Retail,,Thailand,1516704901086,20525.9,57,57
Chuchat & Daonapa Petaumpai,Petaumpai,chuchat-daonapa-petaumpai,chuchat-daonapa-petaumpai,33.84,64,finance,Finance and Investments,,Thailand,1516704901086,1869.134,1339,1339
Craig Newmark,Newmark,craig-newmark,no-pic,0,65,Craigslist,Technology,M,United States,1516704901086,1305.9,1763,1763
Daniel Tsai & family,Tsai,daniel-tsai-1,no-pic,10.439,,finance,Finance and Investments,M,Taiwan,1516704901086,9747.938,175,175
Desmond Sacco,Sacco,desmond-sacco,desmond-sacco,-57.248,75,mining,Metals & Mining,M,South Africa,1516704901086,1150.433,1916,1916
Dieter Schaub,Schaub,dieter-schaub,no-pic,0,80,media,Media & Entertainment,M,Germany,1516704901086,2266.818,1115,1115
Dik Wessels,Wessels,dik-wessels,no-pic,0,72,"construction, engineering",Construction & Engineering,M,Netherlands,1516704901086,2898.147,834,834
Douglas Hsu & family,Hsu,douglas-hsu,douglas-hsu,-2.771,75,diversified,Diversified,M,Taiwan,1516704901086,1327.134,1745,1745
Elisabeth Badinter & family,Badinter,elisabeth-badinter,elisabeth-badinter,-7.501,73,advertising,Media & Entertainment,F,France,1516704901086,1509.555,1587,1587
Fahd Hariri,Hariri,fahd-hariri,fahd-hariri,0,37,"construction, investments",Construction & Engineering,M,Lebanon,1516704901086,1092.501,1963,1963
Francis Holder,Holder,francis-holder,no-pic,0,,Laduree and Paul bakeries,Food and Beverage,,France,1516704901086,1375.196,1701,1701
Frank Hasenfratz,Hasenfratz,frank-hasenfratz-1,frank-hasenfratz-1,-1.204,83,auto parts,Automotive,M,Canada,1516704901086,1145.224,1919,1919
Hubert Palfinger & family,Palfinger,hubert-palfinger,no-pic,5.38,76,hydraulic lift machinery,Manufacturing,M,Austria,1516704901086,1074.564,1976,1976
Isara Vongkusolkit & family,Vongkusolkit,isara-vongkusolkit,isara-vongkusolkit,-2.936,69,sugar,Food and Beverage,M,Thailand,1516704901086,1610.907,1498,1498
Jacques Merceron-Vicat & family,Merceron-Vicat,jacques-merceron-vicat,jacques-merceron-vicat,4.621,79,cement,Construction & Engineering,M,France,1516704901086,1242.205,1827,1827
Jean Burelle,Burelle,jean-burelle,jean-burelle,16.191,79,automotive systems,Automotive,M,France,1516704901086,1964.442,1285,1285
Jonathan Harmsworth,Harmsworth,jonathan-harmsworth,jonathan-harmsworth,1.703,50,publishing,Media & Entertainment,M,United Kingdom,1516704901086,1248.744,1819,1819
Joop van den Ende,van den Ende,joop-van-den-ende,joop-van-den-ende,0,75,TV shows,Media & Entertainment,M,Netherlands,1516704901086,1036.059,2000,2000
Jose and Francisco Jose Calderon Rojas,Calderon Rojas,jose-and-francisco-jose-calderon-rojas,no-pic,-0.463,,beverages,Food and Beverage,M,Mexico,1516704901086,2231.26,1129,1129
Konstantin Nikolaev,Nikolaev,konstantin-nikolaev,konstantin-nikolaev,6.215,46,"ports, railway transport",Logistics,M,Russia,1516704901086,1008.746,2011,2012
Koo Bon-Neung,Koo,koo-bon-neung,koo-bon-neung,5.798,68,electronics,Manufacturing,M,South Korea,1516704901086,1611.578,1497,1497
Laurent Burelle,Burelle,laurent-burelle,laurent-burelle,16.191,68,automotive systems,Automotive,M,France,1516704901086,1964.442,1285,1286
Lee Man Tat,Lee,lee-man-tat,lee-man-tat,0,88,food,Food and Beverage,M,Hong Kong,1516704901086,8663.99,202,202
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975
Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,0.331,53,conglomerate,Diversified,M,China,1516704901086,1156.082,1910,1910
Loretta Robinson & family,Robinson,loretta-robinson,no-pic-female,-5.818,78,cable tv,Media & Entertainment,F,Canada,1516704901086,7839.238,220,220
Low Tuck Kwong,Low Tuck,low-tuck-kwong,low-tuck-kwong,3.865,69,coal,Energy,M,Indonesia,1516704901086,1594.862,1516,1516
Lu Yonghua & family,Lu,lu-yonghua,lu-yonghua,8.518,54,electronics,Technology,M,China,1516704901086,1172.219,1891,1891
Lucio and Susan Co,Co,lucio-and-susan-co,lucio-and-susan-co,17.664,63,retail,Fashion & Retail,,Philippines,1516704901086,1880.365,1335,1335
Lv Yongxiang,Lv,lv-yongxiang,no-pic,0,68,magnetic switches,Manufacturing,M,China,1516704901086,1066.037,1980,1980
Malvinder & Shivinder Singh,Singh,malvinder-shivinder-singh,malvinder-shivinder-singh,14.45,,healthcare,Healthcare,M,India,1516704901086,1155.071,1911,1911
Marc Samwer,Samwer,marc-samwer,marc-samwer,13.109,47,tech startups,Technology,M,Germany,1516704901086,1257.395,1807,1807
Mary & Douglas Perkins,Perkins,mary-douglas-perkins,mary-douglas-perkins,0,,retail,Fashion & Retail,,United Kingdom,1516704901086,1416.505,1665,1665
Michael Klein,Klein,michael-klein,michael-klein,0,67,retail,Fashion & Retail,M,Brazil,1516704901086,1467.709,1621,1621
Michael Stoschek,Stoschek,michael-stoschek,michael-stoschek,0,70,autoparts,Automotive,M,Germany,1516704901086,1004.655,2017,2018
Nerijus Numavicius,Numavicius,nerijus-numavicius,no-pic,0,50,"retail, pharmacy",Fashion & Retail,M,Lithuania,1516704901086,1008.557,2014,2014
Nikita Mishin,Mishin,nikita-mishin,nikita-mishin,6.215,46,"ports, railway transport",Logistics,M,Russia,1516704901086,1008.746,2011,2013
Nishita Shah Federbush & family,Shah Federbush,nishita-shah-federbush,nishita-shah-federbush,-7.818,37,"shipping, investments",Finance and Investments,F,Thailand,1516704901086,1049.74,1992,1992
Oliver Samwer,Samwer,oliver-samwer,oliver-samwer,13.109,44,tech startups,Technology,M,Germany,1516704901086,1257.395,1807,1808
Osathanugrah Family,Osathanugrah Family,osathanugrah-family,osathanugrah-family,10.763,,beverages,Food and Beverage,,Thailand,1516704901086,1430.944,1652,1652
Ou Zonghong,Ou,ou-zonghong,no-pic,220.051,48,real estate,Real Estate,M,China,1516704901086,1537.766,1565,1565
Pete Bodharamik,Bodharamik,pete-bodharamik,pete-bodharamik,-5.025,45,telecom,Telecom,M,Thailand,1516704901086,1175.438,1888,1888
Phornthep Phornprapha & family,Phornprapha,phornthep-phornprapha,phornthep-phornprapha,0,69,auto,Automotive,M,Thailand,1516704901086,1748.727,1399,1399
Pierre Castel & family,Castel,pierre-castel,pierre-castel,0,91,wine,Food and Beverage,M,France,1516704901086,13891.49,115,115
Reinfried Pohl Jr,Pohl,reinfried-pohl-jr,no-pic,0,58,mutual funds,Finance and Investments,M,Germany,1516704901086,1211.682,1856,1857
Rit Thirakomen & family,Thirakomen,rit-thirakomen,rit-thirakomen,115.109,66,restaurants,Food and Beverage,M,Thailand,1516704901086,2316.86,1093,1093
Saad Hariri,Hariri,saad-hariri,saad-hariri,42.218,47,"construction, investments",Construction & Engineering,M,Lebanon,1516704901086,1563.142,1536,1536
Sanjay Singal,Singal,sanjay-singal,sanjay-singal,0,58,steel,Manufacturing,M,India,1516704901086,1135.881,1924,1924
Santi Bhirombhakdi & family,Bhirombhakdi,santi-bhirombhakdi,santi-bhirombhakdi,-1.18,71,beer,Food and Beverage,M,Thailand,1516704901086,3733.573,627,627
Sathien Setthasit,Setthasit,sathien-setthasit,sathien-setthasit,10.773,63,energy drinks,Food and Beverage,M,Thailand,1516704901086,1088.314,1967,1967
Shlomo Eliahu,Eliahu,shlomo-eliahu,shlomo-eliahu,21.536,82,insurance,Finance and Investments,M,Israel,1516704901086,1149.33,1917,1917
Silas Chou,Chou,silas-chou,silas-chou,-0.01,71,fashion investments,Fashion & Retail,M,Hong Kong,1516704901086,2698.975,924,924
Subhash Runwal,Runwal,subhash-runwal,subhash-runwal,0,74,real estate,Real Estate,M,India,1516704901086,1028.165,2002,2002
Sudthida Ratanarak,Ratanarak,sudthida-ratanarak,no-pic-female,6.949,,"media, real estate",Media & Entertainment,F,Thailand,1516704901086,1087.193,1970,1970
Supaluck Umpujh & family,Umpujh,supaluck-umpujh,supaluck-umpujh,0,63,retail,Fashion & Retail,F,Thailand,1516704901086,1788.265,1377,1377
V. Prem Watsa,Watsa,v-prem-watsa,v-prem-watsa,5.051,67,"insurance, investments",Finance and Investments,M,Canada,1516704901086,1070.112,1979,1979
Vinod & Anil Rai Gupta,Gupta,vinod-anil-rai-gupta,vinod-anil-rai-gupta,152.519,72,electrical equipment,Manufacturing,F,India,1516704901086,2494.529,1003,1003
Wan Lianbu,Wan,wan-lianbu,no-pic,0,52,fertilizers,Manufacturing,M,China,1516704901086,1192.415,1876,1876
Wang Muqing & family,Wang,wang-muqing,no-pic,29.844,67,auto distribution,Automotive,M,China,1516704901086,1660.72,1465,1465
Witoon Suriyawanakul,Suriyawanakul,witoon-suriyawanakul,witoon-suriyawanakul,-4.533,60,retail,Fashion & Retail,M,Thailand,1516704901086,1009.057,2010,2010
You Xiaoping,You,you-xiaoping,you-xiaoping,0.579,60,"chemicals, spandex",Manufacturing,M,China,1516704901086,1290.05,1779,1779
Yuan Fugen & family,Yuan,yuan-fugen,no-pic,-56.49,67,metal processing,Manufacturing,M,China,1516704901086,1371.959,1704,1704
Zadik Bino,Bino,zadik-bino,zadik-bino,7.785,74,"banking, oil",Diversified,M,Israel,1516704901086,1087.265,1969,1969
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil, banking",Diversified,M,China,1516704901086,1584.328,1524,1524
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765
Bill Gates,Gates,bill-gates,bill-gates,224.467,62,Microsoft,Technology,M,United States,1516704901086,92571.778,3,3
Warren Buffett,Buffett,warren-buffett,warren-buffett,1082.605,87,Berkshire Hathaway,Finance and Investments,M,United States,1516704901086,92639.248,2,2
Jeff Bezos,Bezos,jeff-bezos,jeff-bezos,2582.299,54,Amazon.com,Technology,M,United States,1516704901086,110708.777,1,1
Amancio Ortega,Ortega,amancio-ortega,amancio-ortega,677.751,81,Zara,Fashion & Retail,M,Spain,1516704901086,76763.179,4,4
Mark Zuckerberg,Zuckerberg,mark-zuckerberg,mark-zuckerberg,1615.394,33,Facebook,Technology,M,United States,1516704901086,74725.644,5,5
Carlos Slim Helu,Slim Helu,carlos-slim-helu,carlos-slim-helu,516.496,77,telecom,Telecom,M,Mexico,1516704901086,69738.191,6,6
Larry Ellison,Ellison,larry-ellison,larry-ellison,139.251,73,software,Technology,M,United States,1516704901086,61578.553,8,8
Charles Koch,Koch,charles-koch,charles-koch,0,82,diversified,Diversified,M,United States,1516704901086,51974.932,13,13
David Koch,Koch,david-koch,david-koch,0,77,diversified,Diversified,M,United States,1516704901086,51974.932,13,14
Michael Bloomberg,Bloomberg,michael-bloomberg,michael-bloomberg,0,75,Bloomberg LP,Media & Entertainment,M,United States,1516704901086,52646.712,10,10
Bernard Arnault,Arnault,bernard-arnault,bernard-arnault,289.273,68,LVMH,Fashion & Retail,M,France,1516704901086,69453.108,7,7
Larry Page,Page,larry-page,larry-page,777.868,44,Google,Technology,M,United States,1516704901086,53503.24,9,9
Sergey Brin,Brin,sergey-brin,sergey-brin,752.637,44,Google,Technology,M,United States,1516704901086,52009.57,12,12
Liliane Bettencourt,Bettencourt,liliane-bettencourt,liliane-bettencourt,,95,L'Oreal,Fashion & Retail,F,France,1506115489515,,,
S. Robson Walton,Walton,s-robson-walton,s-robson-walton,337.419,73,Wal-Mart,Fashion & Retail,M,United States,1516704901086,48498.932,16,16
Jim Walton,Walton,jim-walton,jim-walton,342.418,69,Wal-Mart,Fashion & Retail,M,United States,1516704901086,48741.916,15,15
Alice Walton,Walton,alice-walton,alice-walton,340.099,68,Wal-Mart,Fashion & Retail,F,United States,1516704901086,48421.657,17,17
Wang Jianlin,Wang,wang-jianlin,wang-jianlin,3.791,63,real estate,Real Estate,M,China,1516704901086,25503.784,37,37
Li Ka-shing,Li,li-ka-shing,li-ka-shing,444.891,89,diversified,Diversified,M,Hong Kong,1516704901086,37099.515,23,23
Sheldon Adelson,Adelson,sheldon-adelson,sheldon-adelson,1119.339,84,casinos,Gambling & Casinos,M,United States,1516704901086,41272.847,19,19
Steve Ballmer,Ballmer,steve-ballmer,steve-ballmer,498.957,61,Microsoft,Technology,M,United States,1516704901086,39169.476,22,22
Jorge Paulo Lemann,Lemann,jorge-paulo-lemann,jorge-paulo-lemann,-125.33,78,beer,Food and Beverage,M,Brazil,1516704901086,29634.164,29,29
Jack Ma,Ma,jack-ma,jack-ma,45.951,53,e-commerce,Technology,M,China,1516704901086,39665.126,21,21
Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,beate-heister-karl-albrecht-jr,no-pic,0,,supermarkets,Fashion & Retail,,Germany,1516704901086,33982.317,24,24
David Thomson,Thomson,david-thomson,david-thomson,-90.608,60,media,Media & Entertainment,M,Canada,1516704901086,26637.489,36,36
Jacqueline Mars,Mars,jacqueline-mars,jacqueline-mars,0,78,candy,Food and Beverage,F,United States,1516704901086,28096.86,32,32
John Mars,Mars,john-mars,no-pic,0,82,candy,Food and Beverage,M,United States,1516704901086,28096.86,32,33
Phil Knight,Knight,phil-knight,phil-knight,-282.589,79,Nike,Fashion & Retail,M,United States,1516704901086,29699.156,28,28
Maria Franca Fissolo,Fissolo,maria-franca-fissolo,maria-franca-fissolo,0,83,"Nutella, chocolates",Food and Beverage,F,Italy,1516704901086,32342.931,26,26
George Soros,Soros,george-soros,george-soros,0,87,hedge funds,Finance and Investments,M,United States,1516704901086,8000,216,216
Ma Huateng,Ma,ma-huateng,ma-huateng,2345.077,46,internet media,Technology,M,China,1516704901086,52463.895,11,11
Lee Shau Kee,Lee,lee-shau-kee,lee-shau-kee,185.465,89,real estate,Real Estate,M,Hong Kong,1516704901086,31695.354,27,27
Mukesh Ambani,Ambani,mukesh-ambani,mukesh-ambani,2154.127,60,"petrochemicals, oil & gas",Energy,M,India,1516704901086,43947.256,18,18
Masayoshi Son,Son,masayoshi-son,masayoshi-son,614.871,60,"internet, telecom",Telecom,M,Japan,1516704901086,23681.599,40,40
Kjeld Kirk Kristiansen,Kristiansen,kjeld-kirk-kristiansen,kjeld-kirk-kristiansen,-10.066,70,Lego,Manufacturing,M,Denmark,1516704901086,23617.129,41,41
Georg Schaeffler,Schaeffler,georg-schaeffler,georg-schaeffler,-180.737,53,automotive,Automotive,M,Germany,1516704901086,29317.392,31,31
Joseph Safra,Safra,joseph-safra,joseph-safra,15.426,79,banking,Finance and Investments,M,Brazil,1516704901086,24086.568,39,39
Michael Dell,Dell,michael-dell,michael-dell,3.187,52,Dell computers,Technology,M,United States,1516704901086,24744.691,38,38
Susanne Klatten,Klatten,susanne-klatten,susanne-klatten,215.06,55,"BMW, pharmaceuticals",Automotive,F,Germany,1516704901086,26943.316,35,35
Len Blavatnik,Blavatnik,len-blavatnik,len-blavatnik,-37.166,60,diversified,Diversified,M,United States,1516704901086,21303.038,50,50
Laurene Powell Jobs,Powell Jobs,laurene-powell-jobs,laurene-powell-jobs,-22.422,54,"Apple, Disney",Technology,F,United States,1516704901086,20046.277,62,62
Paul Allen,Allen,paul-allen,paul-allen,56.406,65,"Microsoft, investments",Technology,M,United States,1516704901086,21015.283,53,53
Stefan Persson,Persson,stefan-persson,stefan-persson,17.499,70,H&M,Fashion & Retail,M,Sweden,1516704901086,18065.232,73,73
"Theo Albrecht, Jr.",Albrecht,theo-albrecht-jr,no-pic,0,67,"Aldi, Trader Joe's",Fashion & Retail,M,Germany,1516704901086,22437.237,46,46
Prince Alwaleed Bin Talal Alsaud,Alsaud,prince-alwaleed-bin-talal-alsaud,prince-alwaleed-bin-talal-alsaud,-21.498,62,investments,Finance and Investments,M,Saudi Arabia,1516704901086,17213.538,81,81
Leonid Mikhelson,Mikhelson,leonid-mikhelson,leonid-mikhelson,50.217,62,"gas, chemicals",Energy,M,Russia,1516704901086,17901.316,76,76
Charles Ergen,Ergen,charles-ergen,charles-ergen,239.387,64,satellite TV,Media & Entertainment,M,United States,1516704901086,14357.979,111,111
Stefan Quandt,Quandt,stefan-quandt,stefan-quandt,256.554,51,BMW,Automotive,M,Germany,1516704901086,23062.886,43,43
James Simons,Simons,james-simons,james-simons,0,79,hedge funds,Finance and Investments,M,United States,1516704901086,18500,71,71
Leonardo Del Vecchio,Del Vecchio,leonardo-del-vecchio,leonardo-del-vecchio,204.192,82,eyeglasses,Fashion & Retail,M,Italy,1516704901086,22087.645,49,49
Alexey Mordashov,Mordashov,alexey-mordashov,alexey-mordashov,-51.008,52,"steel, investments",Metals & Mining,M,Russia,1516704901086,19694.427,66,66
William Ding,Ding,william-ding,william-ding,346.528,46,online games,Technology,M,China,1516704901086,19702.32,65,65
Dieter Schwarz,Schwarz,dieter-schwarz,no-pic,0,78,retail,Fashion & Retail,M,Germany,1516704901086,21164.484,52,52
Ray Dalio,Dalio,ray-dalio,ray-dalio,0,68,hedge funds,Finance and Investments,M,United States,1516704901086,17000,83,83
Carl Icahn,Icahn,carl-icahn,carl-icahn,87.038,81,investments,Finance and Investments,M,United States,1516704901086,16999.578,84,84
Lakshmi Mittal,Mittal,lakshmi-mittal,lakshmi-mittal,-194.035,67,steel,Metals & Mining,M,India,1516704901086,20168.719,61,61
Serge Dassault,Dassault,serge-dassault,serge-dassault,-37.09,92,diversified,Diversified,M,France,1516704901086,22909.624,45,45
Vladimir Lisin,Lisin,vladimir-lisin,vladimir-lisin,-95.018,61,"steel, transport",Metals & Mining,M,Russia,1516704901086,19145.241,69,69
Gennady Timchenko,Timchenko,gennady-timchenko,gennady-timchenko,47.73,65,"oil, gas",Energy,M,Russia,1516704901086,15581.354,100,100
Wang Wei,Wang,wang-wei,wang-wei,338.377,48,package delivery,Service,M,China,1516704901086,20233.087,60,60
Tadashi Yanai,Yanai,tadashi-yanai,tadashi-yanai,241.641,68,fashion retail,Fashion & Retail,M,Japan,1516704901086,23095.708,42,42
Charoen Sirivadhanabhakdi,Sirivadhanabhakdi,charoen-sirivadhanabhakdi,charoen-sirivadhanabhakdi,98.623,73,"drinks, real estate",Food and Beverage,M,Thailand,1516704901086,19843.987,63,63
Francois Pinault,Pinault,francois-pinault,francois-pinault,-198.225,81,luxury goods,Fashion & Retail,M,France,1516704901086,29458.72,30,30
Hinduja family,Hinduja,hinduja,hinduja,123.997,,diversified,Diversified,M,United Kingdom,1516704901086,19671.727,67,67
David & Simon Reuben,Reuben,david-simon-reuben,david-simon-reuben,0,75,"investments, real estate",Real Estate,M,United Kingdom,1516704901086,20314.934,58,58
Donald Bren,Bren,donald-bren,donald-bren,0,85,real estate,Real Estate,M,United States,1516704901086,16265.953,92,92
Alisher Usmanov,Usmanov,alisher-usmanov,alisher-usmanov,-3.257,64,"steel, telecom, investments",Metals & Mining,M,Russia,1516704901086,15973.459,95,95
Lee Kun-Hee,Lee,lee-kun-hee,lee-kun-hee,-47.975,76,Samsung,Diversified,M,South Korea,1516704901086,20755.717,55,55
Thomas & Raymond Kwok,Kwok,thomas-raymond-kwok,thomas-raymond-kwok,125.671,,real estate,Real Estate,M,Hong Kong,1516704901086,17782.312,77,77
Joseph Lau,Lau,joseph-lau,joseph-lau,20.442,66,real estate,Real Estate,M,Hong Kong,1516704901086,16998.832,85,85
Gina Rinehart,Rinehart,gina-rinehart,gina-rinehart,-2.712,63,mining,Metals & Mining,F,Australia,1516704901086,18039.846,74,74
Azim Premji,Premji,azim-premji,azim-premji,-570.962,72,software services,Technology,M,India,1516704901086,20299.558,59,59
Marcel Herrmann Telles,Telles,marcel-herrmann-telles,marcel-herrmann-telles,-58.354,68,beer,Food and Beverage,M,Brazil,1516704901086,14823.347,104,104
Vagit Alekperov,Alekperov,vagit-alekperov,vagit-alekperov,-25.896,67,oil,Energy,M,Russia,1516704901086,16723.607,88,88
Mikhail Fridman,Fridman,mikhail-fridman,mikhail-fridman,156.673,53,"oil, banking, telecom",Energy,M,Russia,1516704901086,15747.411,98,98
Abigail Johnson,Johnson,abigail-johnson,abigail-johnson,0,56,money management,Finance and Investments,F,United States,1516704901086,19743.329,64,64
Pallonji Mistry,Mistry,pallonji-mistry,pallonji-mistry,652.254,88,construction,Construction & Engineering,M,Ireland,1516704901086,19336.024,68,68
Vladimir Potanin,Potanin,vladimir-potanin,vladimir-potanin,-224.839,57,metals,Metals & Mining,M,Russia,1516704901086,15802.537,97,97
Wang Wenyin,Wang,wang-wenyin,wang-wenyin,0,50,"mining, copper products",Metals & Mining,M,China,1516704901086,13034.241,125,125
Elon Musk,Musk,elon-musk,elon-musk,50.229,46,Tesla Motors,Automotive,M,United States,1516704901086,20957.256,54,54
Stefano Pessina,Pessina,stefano-pessina,stefano-pessina,132.983,76,drugstores,Fashion & Retail,M,Italy,1516704901086,12801.543,130,130
German Larrea Mota Velasco,Larrea Mota Velasco,german-larrea-mota-velasco,no-pic,-118.343,64,mining,Metals & Mining,M,Mexico,1516704901086,17935.553,75,75
Thomas Peterffy,Peterffy,thomas-peterffy,thomas-peterffy,347.509,73,discount brokerage,Finance and Investments,M,United States,1516704901086,20753.2,56,56
Iris Fontbona,Fontbona,iris-fontbona,no-pic-female,-316.76,75,mining,Metals & Mining,F,Chile,1516704901086,16806.65,86,86
Dilip Shanghvi,Shanghvi,dilip-shanghvi,dilip-shanghvi,114.988,62,pharmaceuticals,Healthcare,M,India,1516704901086,12904.614,127,127
Dietrich Mateschitz,Mateschitz,dietrich-mateschitz,dietrich-mateschitz,0,73,Red Bull,Food and Beverage,M,Austria,1516704901086,22300.924,48,48
Harold Hamm,Hamm,harold-hamm,harold-hamm,383.972,72,oil & gas,Energy,M,United States,1516704901086,16268.048,91,91
Robin Li,Li,robin-li,robin-li,-90.73,49,internet search,Technology,M,China,1516704901086,14171.442,112,112
Andrey Melnichenko,Melnichenko,andrey-melnichenko,andrey-melnichenko,4.275,45,"coal, fertilizers",Energy,M,Russia,1516704901086,14955.127,102,102
Rupert Murdoch,Murdoch,rupert-murdoch,rupert-murdoch,223.81,86,"newspapers, TV network",Media & Entertainment,M,United States,1516704901086,15679.595,99,99
Heinz Hermann Thiele,Thiele,heinz-hermann-thiele,heinz-hermann-thiele,-1.31,76,brakes,Construction & Engineering,M,Germany,1516704901086,14098.034,113,113
Steve Cohen,Cohen,steve-cohen,steve-cohen,0,61,hedge funds,Finance and Investments,M,United States,1516704901086,13000,126,126
Patrick Drahi,Drahi,patrick-drahi,patrick-drahi,397.032,54,telecom,Telecom,M,France,1516704901086,7203.739,251,251
Henry Sy,Sy,henry-sy,henry-sy,500.909,93,diversified,Diversified,M,Philippines,1516704901086,22345.79,47,47
Charlene de Carvalho-Heineken,de Carvalho-Heineken,charlene-de-carvalho-heineken,charlene-de-carvalho-heineken,177.447,63,Heineken,Food and Beverage,F,Netherlands,1516704901086,16790.718,87,87
Philip Anschutz,Anschutz,philip-anschutz,philip-anschutz,-2.52,78,investments,Finance and Investments,M,United States,1516704901086,13372.3,121,121
Ronald Perelman,Perelman,ronald-perelman,ronald-perelman,5.389,75,leveraged buyouts,Finance and Investments,M,United States,1516704901086,12272.922,138,138
Hans Rausing,Rausing,hans-rausing,hans-rausing,0,91,packaging,Manufacturing,M,Sweden,1516704901086,12500,135,135
Carlos Alberto Sicupira,Sicupira,carlos-alberto-sicupira,no-pic,-76.27,70,beer,Food and Beverage,M,Brazil,1516704901086,12723.311,131,131
Klaus-Michael Kuehne,Kuehne,klaus-michael-kuehne,klaus-michael-kuehne,-48.486,80,shipping,Logistics,M,Germany,1516704901086,16339.044,90,90
Viktor Vekselberg,Vekselberg,viktor-vekselberg,viktor-vekselberg,-19.27,60,"metals, energy",Energy,M,Russia,1516704901086,14476.33,110,110
He Xiangjian,He,he-xiangjian,he-xiangjian,1253.998,75,home appliances,Manufacturing,M,China,1516704901086,23022.623,44,44
Shiv Nadar,Nadar,shiv-nadar,shiv-nadar,466.069,72,software services,Technology,M,India,1516704901086,15110.032,101,101
Takemitsu Takizaki,Takizaki,takemitsu-takizaki,takemitsu-takizaki,175.02,72,sensors,Manufacturing,M,Japan,1516704901086,19030.838,70,70
Aliko Dangote,Dangote,aliko-dangote,aliko-dangote,-533.721,60,"cement, sugar, flour",Manufacturing,M,Nigeria,1516704901086,13747.812,118,118
Petr Kellner,Kellner,petr-kellner,petr-kellner,61.896,53,"banking, insurance",Finance and Investments,M,Czech Republic,1516704901086,15812.7,96,96
